STT,CUS_CIF_NBR,CUS_NM,DTE_OPN_CIF,BRN_OPN_CIF,CUS_GEN,AGE,TINHTRANGHONNHAN,CUS_PHONE,CUS_MAIL,CUS_ADRR,TINHCHATCVHT,TRINHDOHOCVAN,AVG_AMT_3M,CALL_DATE,STATUS_ADV,CUST_BANCASED,SANPHAMBHNTDAMUA,NGAYMUABH,SPDV,PRIORITYFLAG,BRN_MNGT_PRIO,PAYROLLFLAG,DSCTTHEGHINO,DSCTTHETINDUNG,DSCTNOTIENGUI,DSCTCOTIENGUI,DSCTDIGIBANK,AVG_BAL_TA_E12M,AVG_BAL_TM_E12M,AVG_BAL_LN_E12M,SODUTIENGUI,SODUTIETKIEM,DUNOVAY,NHOMNOVCB,MATDT,CHITIEUCHOYTE,CHITIEUCHOGD,CHITIEUCHODULICH,CHITIEUDAUTUCK,LYDOMUABAOHIEM,SCORE,DATIEPCAN,FEEDBACK,NOTE,RMTIEPCAN
113,xxxxxx,LE HUYEN NHI,7/26/2021,4970,Nữ,45,Có gia đình,xxxxxxx468,xxxxxxxxx@outlook.com,"Hà Đông,Hà Nội","Chuyên viên, kinh doanh có đăng ký",Cao học,25330902,1/31/2022,Đồng ý gặp mặt,Có,FWD Nang tam vi the,5/15/2020,Khách hàng có thẻ tín dụng quốc tế; Tiền gửi không kỳ hạn,Không có,Không có,Không,4273022,2708444,5509749315,22900537188,180919926,5943875,868542,5338815,18755603,58256117,41133413,4,13/07/2023,78121908,44850931,86414125,71507780,Quan tâm đến cuộc sống tương lai,60%,Đã tiếp cận,Từ chối,chưa có,0
114,xxxxxx,PHAM QUOC QUY,4/29/2020,4461,Nam,43,Độc thân,xxxxxxx632,xxxxxxxxx@gmail.com,"Hà Đông,Hà Nội",Cán bộ quản lý trung cấp,Cao đẳng,20549891,4/22/2023,Khách hàng từ chối – khách hàng không có nhu cầu,Có,Không có,Không,Khách hàng có thẻ ghi nợ nội địa; Tiền gửi không kỳ hạn; Tiền gửi tiết kiệm,Không có,Không có,Có,8608047,421884,6155551124,10898661561,878560909,63532287,77661208,76996437,64873940,36580740,68740649,4,13/07/2023,65308101,71115340,95568592,23917290,Quan tâm gia đình,66%,Đã tiếp cận,Từ chối,chưa có,0
115,xxxxxx,NGO AI VAN,8/6/2020,4167,Nam,25,Có gia đình,xxxxxxx493,xxxxxxxxx@outlook.com,"Hai Bà Trưng,Hà Nội",Cán bộ quản lý trung cấp,Tốt nghiệp phổ thông,20994913,4/11/2022,Khách hàng từ chối – khách hàng không có nhu cầu,Có,Không có,Không,Khách hàng có thẻ ghi nợ nội địa; Tiền gửi không kỳ hạn; Tiền gửi tiết kiệm,P5A,9603,Không,28670419,2367094,29702999886,23393840157,1512719478,2810076,75884687,6401579,67218949,2350022,81750244,4,13/07/2023,95706721,91958098,60842115,11055324,Quan tâm bảo hiểm,66%,Chưa tiếp cận,Từ chối,chưa có,0
116,xxxxxx,DANG CHIEN THANG,########,2009,Nam,20,Ly dị,xxxxxxx472,xxxxxxxxx@gmail.com,"Ba Đình,Hà Nội",Cán bộ văn phòng,Cao học,37711022,2/3/2022,Đồng ý gặp mặt,Có,FWD Don dau thay doi 3.0,4/10/2022,Khách hàng có khoản vay SXKD; Tiền gửi không kỳ hạn; Thẻ tín dụng quốc tế,P2,9603,Không,14724189,2349714,16250850924,27071959058,1968057049,59018934,72642055,57908050,88568566,48794731,48741428,4,13/07/2023,15590848,20572191,39302709,78206713,"Quan tâm đầu tư, tài chính",53%,Đã tiếp cận,Từ chối,chưa có,0
117,xxxxxx,DOAN BACH NHAN,10/6/2021,6286,Nam,58,Ly dị,xxxxxxx711,xxxxxxxxx@gmail.com,"Tây Hồ,Hà Nội",Cán bộ quản lý cao cấp,Cao đẳng,23771884,2/2/2022,Khách hàng từ chối – khách hàng không có nhu cầu,Có,FWD Nang tam vi the,2/3/2020,Khách hàng có thẻ ghi nợ quốc tế; Tiền gửi không kỳ hạn; Khoản vay SXKD,P4B,9603,Không,6273447,1843382,20049700479,28109248473,1026166680,87511148,44109766,88272498,73095940,24312927,57263909,4,13/07/2023,44339832,92850992,59506403,56146731,Quan tâm gia đình,66%,Chưa tiếp cận,Từ chối,chưa có,0
118,xxxxxx,NGO ÐOAN TU,########,6550,Nam,40,Ly dị,xxxxxxx321,xxxxxxxxx@gmail.com,"Thanh Xuân,Hà Nội",Cán bộ quản lý trung cấp,Đại học,10316442, ,Không có,Không,FWD Don dau thay doi 3.0,6/10/2022,Khách hàng có thẻ tín dụng quốc tế; Tiền gửi không kỳ hạn,P4B,9603,Có,23589672,2490619,23662584162,7049584155,162596238,88775924,67480596,74074739,29366648,76662233,53466574,4,13/07/2023,96201211,84524805,93429648,82282045,"Quan tâm đầu tư, tài chính",68%,Chưa tiếp cận,Từ chối,chưa có,0
119,xxxxxx,PHAM BICH VAN,8/25/2022,473,Nam,20,Có gia đình,xxxxxxx703,xxxxxxxxx@gmail.com,"Ba Đình,Hà Nội",Cán bộ quản lý sơ cấp,Cao học,30200204, ,Đồng ý gặp mặt,Có,FWD Nang tam vi the,4/9/2021,Khách hàng có bảo hiểm; Thẻ tín dụng quốc tế; Thẻ ghi nợ quốc tế; Tiền gửi tiết kiệm,P1,9603,Có,10351964,2279125,27889592793,20718042745,1804386087,23103209,92121327,13826648,61233165,59204514,51777236,4,13/07/2023,13653626,26303875,35970719,89819471,Quan tâm gia đình,54%,Đã tiếp cận,Từ chối,chưa có,0
120,xxxxxx,VO HOANG HA,12/26/2020,6109,Nam,35,Độc thân,xxxxxxx416,xxxxxxxxx@yahoo.com,"Ba Đình,Hà Nội",Cán bộ quản lý sơ cấp,Cao đẳng,8244875,3/19/2021,Đồng ý gặp mặt,Có,FWD Nang tam vi the,8/14/2021,Khách hàng có thẻ tín dụng quốc tế; Tiền gửi không kỳ hạn,P4B,9603,Không,33231889,2601238,21549792164,20432159708,1053386985,59376740,78306578,26359978,22228257,75187518,10946688,4,13/07/2023,73035317,11329033,63163502,78474776,Quan tâm sức khoẻ,77%,Chưa tiếp cận,Từ chối,chưa có,0
121,xxxxxx,PHAN ÐUC KHIEM,########,3946,Nữ,26,Có gia đình,xxxxxxx900,xxxxxxxxx@gmail.com,"Thanh Xuân,Hà Nội",Cán bộ quản lý sơ cấp,Cao đẳng,33647822, ,Đồng ý gặp mặt,Có,Không có,Không,Khách hàng có khoản vay ô tô; Tiền gửi không kỳ hạn; Thẻ ghi nợ nội địa ,P4A,9603,Không,37994185,73521,21714072238,14524432444,432661953,58169210,50786105,30932851,85167489,50317577,62567641,4,15/07/2024,86529206,66767454,37183370,87450566,Quan tâm gia đình,77%,Chưa tiếp cận,Từ chối,chưa có,0
122,xxxxxx,VO VAN THUY,12/8/2021,6642,Nam,48,Ly dị,xxxxxxx051,xxxxxxxxx@outlook.com,"Thanh Xuân,Hà Nội",Cán bộ quản lý trung cấp,Trung cấp,8991343,12/12/2020,Không có,Không,FWD Nang tam vi the,1/25/2021,Khách hàng có khoản vay ô tô; Tiền gửi không kỳ hạn; Thẻ ghi nợ nội địa ,P2,9603,Có,27209846,1261708,17782241650,3679238442,1132306260,53344455,85355169,91506386,66382113,80655469,80795237,2,15/07/2024,1484851,2792185,14879223,95822094,Quan tâm bảo hiểm,66%,Đã tiếp cận,Từ chối,chưa có,0
123,xxxxxx,HO BUU CHUONG,1/20/2020,5705,Nữ,26,Có gia đình,xxxxxxx490,xxxxxxxxx@yahoo.com,"Thanh Xuân,Hà Nội",Cán bộ quản lý sơ cấp,Cao đẳng,37395398,9/2/2023,Khách hàng từ chối – khách hàng không có nhu cầu,Có,Không có,Không,Khách hàng có khoản vay ô tô; Tiền gửi không kỳ hạn; Thẻ ghi nợ nội địa ,P2,9603,Không,26186048,2996145,15438332700,29484106894,1887679767,99179506,81721161,61966873,63051595,31178472,63337437,1,15/07/2024,58032927,41688099,78808024,47447998,Quan tâm gia đình,75%,Đã tiếp cận,Từ chối,chưa có,0
124,xxxxxx,HUYNH HUU THONG,6/12/2021,6013,Nữ,55,Độc thân,xxxxxxx946,xxxxxxxxx@outlook.com,"Cầu Giấy,Hà Nội",Cán bộ quản lý sơ cấp,Cao đẳng,37595377,3/29/2021,Không có,Không,FWD con vuon xa,5/16/2020,Khách hàng có khoản vay SXKD; Tiền gửi không kỳ hạn; Thẻ tín dụng quốc tế,P2,9603,Không,28211118,2508150,21932036976,4951476773,1723142108,93322053,92925017,57327218,6469999,16915645,32406643,1,15/07/2024,87931446,82684854,675608,70683094,Quan tâm sức khoẻ,66%,Đã tiếp cận,Từ chối,chưa có,0
125,xxxxxx,BUI QUYNH TRAM,9/5/2020,2588,Nữ,42,Có gia đình,xxxxxxx503,xxxxxxxxx@gmail.com,"Cầu Giấy,Hà Nội","Chuyên viên, kinh doanh có đăng ký",Đại học,27077495,5/28/2023,Không có,Không,FWD Nang tam vi the,8/3/2020,Khách hàng có thẻ ghi nợ quốc tế; Tiền gửi không kỳ hạn; Khoản vay SXKD,Không có,Không có,Có,26211996,1835917,18175984094,25156603371,415160150,43873808,96514960,66735056,50820801,65964293,12519168,4,15/07/2024,84774145,94746200,67028550,16209802,Quan tâm bảo hiểm,78%,Chưa tiếp cận,Từ chối,chưa có,0
126,xxxxxx,HUYNH HA UYEN,10/30/2023,5370,Nữ,37,Ly dị,xxxxxxx550,xxxxxxxxx@yahoo.com,"Cầu Giấy,Hà Nội",Cán bộ quản lý sơ cấp,Cao học,14037954,2/11/2021,Đồng ý gặp mặt,Có,FWD Nang tam vi the,10/25/2022,Khách hàng có thẻ ghi nợ nội địa; Tiền gửi không kỳ hạn; Tiền gửi tiết kiệm,Không có,Không có,Không,31953308,2961078,15709446610,3215774123,1435864267,97459462,93992749,27452372,45229054,98274443,66076355,1,15/07/2024,93628645,76784526,95668003,78876738,Quan tâm bảo hiểm,55%,Chưa tiếp cận,Từ chối,chưa có,0
127,xxxxxx,DOAN KIM LOAN,11/22/2020,5217,Nữ,43,Ly dị,xxxxxxx824,xxxxxxxxx@outlook.com,"Cầu Giấy,Hà Nội",Cán bộ văn phòng,Tốt nghiệp phổ thông,6366043,5/27/2022,Không có,Không,FWD con vuon xa,6/29/2020,Khách hàng có thẻ ghi nợ quốc tế; Tiền gửi không kỳ hạn; Khoản vay SXKD,Không có,Không có,Không,4880822,1179778,15555113863,15745559243,39742117,5481860,69797397,26762707,3742321,24696515,1141303,4,15/07/2024,3702343,27854138,48393315,19224193,Quan tâm gia đình,58%,Chưa tiếp cận,Từ chối,chưa có,0
128,xxxxxx,DUONG NHU BAO,########,2161,Nữ,28,Ly dị,xxxxxxx568,xxxxxxxxx@outlook.com,"Hà Đông,Hà Nội",Cán bộ quản lý sơ cấp,Đại học,10925423, ,Khách hàng từ chối – khách hàng không có nhu cầu,Có,FWD Nang tam vi the,6/5/2023,Tiền gửi không kỳ hạn; Tiền gửi tiết kiệm; Thẻ tín dụng quốc tế; Thẻ ghi nợ nội địa,P5,9603,Có,10835435,2669514,22171986862,10930970898,887022979,90131617,31967164,96323403,89598746,9493372,33791194,4,15/07/2024,43711336,60967384,87239489,69523255,Quan tâm bảo hiểm,66%,Đã tiếp cận,Từ chối,chưa có,0
129,xxxxxx,TRAN THUONG THUAT,4/4/2023,6697,Nam,46,Độc thân,xxxxxxx319,xxxxxxxxx@outlook.com,"Hai Bà Trưng,Hà Nội","Chuyên viên, kinh doanh có đăng ký",Đại học,13402500,6/24/2021,Đồng ý gặp mặt,Có,FWD Don dau thay doi 3.0,12/26/2021,Khách hàng có khoản vay ô tô; Tiền gửi không kỳ hạn; Thẻ ghi nợ nội địa ,P5A,9603,Không,21248873,990306,26622599438,11403725981,1225777534,75488187,36998334,70471290,91306284,24937199,54040977,4,15/07/2024,50851990,11229991,88622698,56495749,Quan tâm bảo hiểm,66%,Chưa tiếp cận,Từ chối,chưa có,0
130,xxxxxx,NGUYEN GIANG THIEN,5/29/2022,6014,Nữ,22,Có gia đình,xxxxxxx121,xxxxxxxxx@yahoo.com,"Thanh Xuân,Hà Nội",Cán bộ văn phòng,Cao đẳng,32481716,2/15/2021,Không có,Không,Không có,Không,Khách hàng sử dụng autodebit; Tiền gửi không kỳ hạn; Tiền gửi tiết kiệm,P2,9603,Không,1871523,2331759,22907952539,16235725612,931586753,1324626,95677324,1090444,4344186,87226629,11058998,1,15/07/2024,35700686,19500647,27321884,44903540,Quan tâm bảo hiểm,77%,Chưa tiếp cận,Từ chối,chưa có,0
131,xxxxxx,PHAM ÐINH HOP,10/19/2020,2384,Nữ,52,Ly dị,xxxxxxx675,xxxxxxxxx@yahoo.com,"Thanh Xuân,Hà Nội",Cán bộ quản lý trung cấp,Tốt nghiệp phổ thông,18453404, ,Không có,Không,FWD Nang tam vi the,3/2/2020,Tiền gửi không kỳ hạn; Tiền gửi tiết kiệm; Thẻ tín dụng quốc tế; Thẻ ghi nợ nội địa,P4A,9603,Không,19732649,650795,7802266733,24246575111,1532212414,6785932,34051890,49430002,59142236,57558819,69824545,4,15/07/2024,92468914,99395176,59245414,21614736,Quan tâm đến cuộc sống tương lai,66%,Chưa tiếp cận,Từ chối,chưa có,0
132,xxxxxx,BUI NGOC LY,5/7/2022,5174,Nữ,45,Ly dị,xxxxxxx899,xxxxxxxxx@yahoo.com,"Thanh Xuân,Hà Nội",Cán bộ quản lý sơ cấp,Cao học,13567806,6/12/2023,Không có,Không,FWD Nang tam vi the,6/9/2023,Tiền gửi không kỳ hạn; Tiền gửi tiết kiệm; Thẻ tín dụng quốc tế; Thẻ ghi nợ nội địa,P5,9603,Có,16935908,2223363,14691888174,2924482470,1687880914,49511133,96418599,76863351,62733371,47430067,69343654,2,15/07/2024,25245953,97419551,39563728,7331531,Quan tâm đến cuộc sống tương lai,71%,Chưa tiếp cận,Từ chối,chưa có,0
133,xxxxxx,PHAN HUE HONG,8/1/2021,8779,Nam,36,Độc thân,xxxxxxx048,xxxxxxxxx@gmail.com,"Hoàn Kiếm,Hà Nội",Cán bộ văn phòng,Trung cấp,29347009,2/27/2021,Khách hàng từ chối – khách hàng không có nhu cầu,Có,FWD Don dau thay doi 3.0,9/2/2022,Khách hàng có khoản vay BĐS; Tiền gửi không kỳ hạn,P6,9603,Có,29303638,523587,25654768732,15642155851,550194135,29483857,5253170,35449716,91885542,24780443,20703805,4,15/07/2024,95645949,30505977,57727478,90380289,Quan tâm đến cuộc sống tương lai,66%,Đã tiếp cận,Từ chối,chưa có,0
134,xxxxxx,TRAN CHE PHUONG,2/28/2020,7118,Nam,51,Ly dị,xxxxxxx984,xxxxxxxxx@gmail.com,"Hà Đông,Hà Nội",Cán bộ quản lý trung cấp,Cao đẳng,22480637,6/27/2020,Không có,Không,FWD con vuon xa,10/9/2022,Khách hàng có khoản vay BĐS; Tiền gửi không kỳ hạn,P1,9603,Có,22978253,323283,5181320711,5281099197,182848331,82742241,31967900,83873891,36475894,70389266,11962441,2,15/07/2024,76311879,12951190,18474661,18436014,Quan tâm sức khoẻ,59%,Đã tiếp cận,Từ chối,chưa có,0
135,xxxxxx,NGUYEN MINH NGUYET,12/27/2021,5429,Nữ,31,Ly dị,xxxxxxx129,xxxxxxxxx@yahoo.com,"Hà Đông,Hà Nội",Cán bộ quản lý sơ cấp,Trung cấp,33632787, ,Không có,Không,FWD Nang tam vi the,1/3/2022,Khách hàng có khoản vay BĐS; Tiền gửi không kỳ hạn,P7,9603,Không,9522365,1328812,3226258578,945837130,737061948,5478180,69026441,11287911,35979331,24729302,69395143,4,15/07/2024,24052197,6650837,82417300,15607887,Quan tâm bảo hiểm,66%,Đã tiếp cận,Từ chối,chưa có,0
136,xxxxxx,BUI VAN TUYEN,12/26/2021,1043,Nam,52,Ly dị,xxxxxxx733,xxxxxxxxx@gmail.com,"Ba Đình,Hà Nội",Cán bộ quản lý trung cấp,Cao đẳng,16245066, ,Đồng ý gặp mặt,Có,FWD Nang tam vi the,3/28/2021,Khách hàng có khoản vay SXKD; Tiền gửi không kỳ hạn; Thẻ tín dụng quốc tế,P1,9603,Có,35220236,1777368,6389824764,18558791831,1771460724,29865279,90963024,22953304,76995927,57107981,51161714,4,15/07/2024,49053885,86436660,31788308,86497470,Quan tâm sức khoẻ,50%,Chưa tiếp cận,Từ chối,chưa có,0
137,xxxxxx,NGUYEN HAI ÐANG,12/13/2022,8065,Nam,17,Ly dị,xxxxxxx037,xxxxxxxxx@outlook.com,"Hà Đông,Hà Nội",Cán bộ quản lý sơ cấp,Cao học,32707301,10/7/2021,Đồng ý gặp mặt,Có,Không có,Không,Khách hàng sử dụng autodebit; Tiền gửi không kỳ hạn; Tiền gửi tiết kiệm,Không có,Không có,Không,6116012,667404,29741192997,18416768986,206985451,82461472,28193458,69330895,21732975,36443560,70197822,4,15/07/2024,99807307,35756975,54162969,65917435,Quan tâm gia đình,50%,Chưa tiếp cận,Từ chối,chưa có,0
138,xxxxxx,LE VIET CUONG,5/12/2020,9096,Nam,15,Độc thân,xxxxxxx674,xxxxxxxxx@gmail.com,"Hà Đông,Hà Nội",Cán bộ quản lý trung cấp,Đại học,19467845,7/12/2023,Đồng ý gặp mặt,Có,Không có,Không,Khách hàng có thẻ tín dụng quốc tế; Tiền gửi không kỳ hạn,P3,9603,Có,28087028,1594798,14633695050,1069702074,999823120,37848928,1814485,76260553,41850943,62097586,93850504,4,15/07/2024,28469601,8368128,33917758,98670317,Quan tâm bảo hiểm,66%,Chưa tiếp cận,Từ chối,chưa có,0
139,xxxxxx,DANG TUYET BANG,9/1/2022,8184,Nam,36,Độc thân,xxxxxxx421,xxxxxxxxx@outlook.com,"Tây Hồ,Hà Nội",Cán bộ quản lý sơ cấp,Tốt nghiệp phổ thông,17836958,8/14/2022,Khách hàng từ chối – khách hàng không có nhu cầu,Có,FWD con vuon xa,10/4/2020,Khách hàng có thẻ ghi nợ quốc tế; Tiền gửi không kỳ hạn; Khoản vay SXKD,P7,9603,Không,33588089,145202,18635004668,26057123726,1517299996,15119056,73638127,59755487,15654908,45344585,48618826,1,15/07/2024,49587828,96115081,25171160,12528949,Quan tâm sức khoẻ,66%,Đã tiếp cận,Từ chối,chưa có,0
140,xxxxxx,BUI BINH MINH,6/18/2023,1641,Nam,39,Có gia đình,xxxxxxx917,xxxxxxxxx@outlook.com,"Hai Bà Trưng,Hà Nội",Cán bộ quản lý sơ cấp,Tốt nghiệp phổ thông,15507493,1/27/2023,Khách hàng từ chối – khách hàng không có nhu cầu,Có,Không có,Không,Khách hàng có khoản vay SXKD; Tiền gửi không kỳ hạn; Thẻ tín dụng quốc tế,P3,9603,Có,24287809,1064920,18205563964,16169930268,770945354,84494344,95358992,74694715,77682271,4253229,69878612,1,15/07/2024,41190745,4690632,65833196,56969857,Quan tâm sức khoẻ,66%,Chưa tiếp cận,Từ chối,chưa có,0
141,xxxxxx,DOAN THE VINH,########,5404,Nữ,30,Có gia đình,xxxxxxx950,xxxxxxxxx@yahoo.com,"Ba Đình,Hà Nội",Cán bộ quản lý sơ cấp,Trung cấp,11165120,7/29/2022,Không có,Không,FWD con vuon xa,8/24/2023,Khách hàng có khoản vay ô tô; Tiền gửi không kỳ hạn; Thẻ ghi nợ nội địa ,P5,9603,Có,18428921,367667,2550244339,19658422251,476368871,36858944,76039786,81867641,10388642,98104980,61228161,2,15/07/2024,33098236,79369231,91355411,50841993,Quan tâm gia đình,66%,Chưa tiếp cận,Từ chối,chưa có,0
142,xxxxxx,NGUYEN XUAN HAN,5/19/2020,3730,Nữ,49,Độc thân,xxxxxxx855,xxxxxxxxx@gmail.com,"Ba Đình,Hà Nội","Chuyên viên, kinh doanh có đăng ký",Cao đẳng,17904074, ,Khách hàng từ chối – khách hàng không có nhu cầu,Có,FWD con vuon xa,9/27/2023,Khách hàng có khoản vay SXKD; Tiền gửi không kỳ hạn; Thẻ tín dụng quốc tế,P4A,9603,Có,21381813,1403256,23163735337,1902773871,1936691623,46934057,91101949,50596705,77013668,26430556,21286832,4,15/07/2024,32163479,21333612,34444534,55796361,Quan tâm gia đình,68%,Đã tiếp cận,Từ chối,chưa có,0
143,xxxxxx,VO THUY DUONG,3/2/2023,873,Nam,36,Có gia đình,xxxxxxx194,xxxxxxxxx@outlook.com,"Tây Hồ,Hà Nội","Chuyên viên, kinh doanh có đăng ký",Cao học,6316096, ,Không có,Không,Không có,Không,Khách hàng có thẻ ghi nợ quốc tế; Tiền gửi không kỳ hạn; Khoản vay SXKD,P1,9603,Có,12496132,1212751,27822610047,16004432762,1643346821,43056860,16240578,64680114,75737217,98372241,16088042,2,15/07/2024,26825555,94178959,1448564,35767795,Quan tâm đến cuộc sống tương lai,66%,Chưa tiếp cận,Từ chối,chưa có,0
144,xxxxxx,VU TO TAM,4/30/2021,6599,Nam,55,Ly dị,xxxxxxx136,xxxxxxxxx@gmail.com,"Thanh Xuân,Hà Nội",Cán bộ văn phòng,Cao học,20581031,9/3/2023,Khách hàng từ chối – khách hàng không có nhu cầu,Có,Không có,Không,Khách hàng có khoản vay BĐS; Tiền gửi không kỳ hạn,P6,9603,Có,3340997,692462,8843049972,20852589969,1531522912,75223162,55876967,40576109,13226014,76382069,61625176,4,15/07/2024,49204276,70623474,23391891,97415328,Quan tâm gia đình,53%,Đã tiếp cận,Từ chối,chưa có,0
145,xxxxxx,NGO VIET YEN,9/21/2021,3503,Nam,34,Ly dị,xxxxxxx093,xxxxxxxxx@gmail.com,"Thanh Xuân,Hà Nội","Chuyên viên, kinh doanh có đăng ký",Tốt nghiệp phổ thông,18817051,1/23/2022,Đồng ý gặp mặt,Có,FWD Don dau thay doi 3.0,11/1/2023,Khách hàng có khoản vay ô tô; Tiền gửi không kỳ hạn; Thẻ ghi nợ nội địa ,P4,9603,Có,23930615,918139,10134906648,13209385305,48827048,65781249,64105827,41678676,75607218,71786274,9777781,4,15/07/2024,16111377,83790338,99395453,7327683,"Quan tâm đầu tư, tài chính",79%,Đã tiếp cận,Từ chối,chưa có,0
146,xxxxxx,PHAM NGOC VAN,1/12/2022,3855,Nữ,55,Độc thân,xxxxxxx648,xxxxxxxxx@yahoo.com,"Cầu Giấy,Hà Nội",Cán bộ quản lý trung cấp,Trung cấp,32857152,12/18/2023,Đồng ý gặp mặt,Có,FWD Don dau thay doi 3.0,11/14/2021,Khách hàng có thẻ tín dụng quốc tế; Tiền gửi không kỳ hạn,P4,9603,Có,26446670,1986329,29805920641,7684184023,236703371,93977989,14677408,770335,55743790,46690942,24831060,2,15/07/2024,81478825,40348987,53244230,4077245,Quan tâm gia đình,60%,Đã tiếp cận,Từ chối,chưa có,0
147,xxxxxx,HUYNH THIEN HA,2/27/2022,8617,Nam,44,Có gia đình,xxxxxxx194,xxxxxxxxx@gmail.com,"Tây Hồ,Hà Nội",Cán bộ văn phòng,Đại học,14244078,1/20/2023,Đồng ý gặp mặt,Có,FWD Nang tam vi the,6/30/2022,Khách hàng có khoản vay BĐS; Tiền gửi không kỳ hạn,Không có,Không có,Không,28972935,717727,26044905114,11338403036,1612107341,75623590,31290257,74249263,20267501,64553994,926824,4,15/07/2024,27129816,53267978,51887334,98643799,Quan tâm bảo hiểm,59%,Đã tiếp cận,Từ chối,chưa có,0
148,xxxxxx,LY TUYET LAM,6/9/2020,516,Nữ,18,Độc thân,xxxxxxx578,xxxxxxxxx@gmail.com,"Hoàn Kiếm,Hà Nội",Cán bộ quản lý trung cấp,Đại học,23997287, ,Khách hàng từ chối – khách hàng không có nhu cầu,Có,FWD Don dau thay doi 3.0,2/1/2022,Tiền gửi không kỳ hạn; Tiền gửi tiết kiệm; Thẻ tín dụng quốc tế; Thẻ ghi nợ nội địa,P4B,9603,Không,12348978,1294457,20503793459,8005347058,1236711435,1591566,200320,40007505,20868878,79461853,90261708,1,15/07/2024,72876485,81769400,20327433,93964759,"Quan tâm đầu tư, tài chính",56%,Chưa tiếp cận,Từ chối,chưa có,0
149,xxxxxx,VU XUAN PHUONG,6/11/2021,5685,Nam,35,Ly dị,xxxxxxx648,xxxxxxxxx@gmail.com,"Thanh Xuân,Hà Nội",Cán bộ quản lý trung cấp,Đại học,15910654,7/19/2023,Không có,Không,Không có,Không,Khách hàng có bảo hiểm; Thẻ tín dụng quốc tế; Thẻ ghi nợ quốc tế; Tiền gửi tiết kiệm,P5B,9603,Có,36299656,1743892,19235328121,18508110354,1104808523,94277975,29804268,56661369,55682711,74950153,88502631,2,15/07/2024,73597595,62934209,57345777,4918274,Quan tâm sức khoẻ,56%,Chưa tiếp cận,Từ chối,chưa có,0
150,xxxxxx,HOANG HUNG ÐAO,1/13/2021,2400,Nữ,29,Có gia đình,xxxxxxx581,xxxxxxxxx@gmail.com,"Thanh Xuân,Hà Nội",Cán bộ quản lý sơ cấp,Cao đẳng,19069467,8/16/2021,Đồng ý gặp mặt,Có,FWD Nang tam vi the,11/19/2020,Khách hàng sử dụng autodebit; Tiền gửi không kỳ hạn; Tiền gửi tiết kiệm,P3,9603,Không,23612310,2012273,2494206548,22820992894,1264975079,41786365,45644468,20401990,54831934,49209159,84863120,2,15/07/2024,30738977,11580848,68979278,74859696,Quan tâm bảo hiểm,73%,Đã tiếp cận,Từ chối,chưa có,0
151,xxxxxx,TRUONG NHA SUONG,1/27/2021,7241,Nữ,22,Độc thân,xxxxxxx578,xxxxxxxxx@yahoo.com,"Hai Bà Trưng,Hà Nội",Cán bộ quản lý trung cấp,Cao học,35690250,7/20/2022,Khách hàng từ chối – khách hàng không có nhu cầu,Có,FWD con vuon xa,3/7/2021,Khách hàng có thẻ ghi nợ quốc tế; Tiền gửi không kỳ hạn; Khoản vay SXKD,P2,9603,Có,4530426,1446868,27313143977,11752030553,1107728210,74155387,68408851,49675254,62963987,90749116,51113880,4,15/07/2024,96961294,12438793,66968386,35787480,"Quan tâm đầu tư, tài chính",66%,Chưa tiếp cận,Từ chối,chưa có,0
152,xxxxxx,BUI XUAN LAN,11/18/2023,5863,Nam,21,Độc thân,xxxxxxx735,xxxxxxxxx@outlook.com,"Hoàn Kiếm,Hà Nội",Cán bộ quản lý sơ cấp,Cao học,37243765,9/19/2023,Đồng ý gặp mặt,Có,FWD con vuon xa,3/30/2023,Khách hàng có bảo hiểm; Thẻ tín dụng quốc tế; Thẻ ghi nợ quốc tế; Tiền gửi tiết kiệm,P5,9603,Có,4634575,1162683,1831458930,20946408586,528168902,69841821,35281425,90414686,61545157,84818898,58954725,4,15/07/2024,88773379,8202627,31658054,60204755,Quan tâm đến cuộc sống tương lai,77%,Đã tiếp cận,Từ chối,chưa có,0
153,xxxxxx,DOAN TUAN SY,10/22/2020,9298,Nam,40,Độc thân,xxxxxxx441,xxxxxxxxx@gmail.com,"Hoàn Kiếm,Hà Nội","Chuyên viên, kinh doanh có đăng ký",Trung cấp,19856917,11/4/2021,Không có,Không,FWD Nang tam vi the,12/9/2020,Khách hàng có khoản vay SXKD; Tiền gửi không kỳ hạn; Thẻ tín dụng quốc tế,P4A,9603,Có,12584232,660419,3747000789,15292719035,832972904,65984156,96717998,75842746,21983893,35564916,36491032,1,15/07/2024,49678000,20305134,50085618,49376396,Quan tâm gia đình,53%,Đã tiếp cận,Từ chối,chưa có,0
154,xxxxxx,TRAN GIANG SON,########,7597,Nữ,43,Ly dị,xxxxxxx926,xxxxxxxxx@outlook.com,"Ba Đình,Hà Nội",Cán bộ quản lý cao cấp,Cao đẳng,38231021, ,Khách hàng từ chối – khách hàng không có nhu cầu,Có,FWD con vuon xa,1/8/2023,Khách hàng có khoản vay SXKD; Tiền gửi không kỳ hạn; Thẻ tín dụng quốc tế,P6,9603,Không,13567151,1696295,8967830252,15899893842,979917685,51280119,86599561,96146933,30763631,32116521,54670091,4,15/07/2024,90600273,12842934,82174314,76847228,"Quan tâm đầu tư, tài chính",66%,Đã tiếp cận,Từ chối,chưa có,0
